sample_id,pattern,count,disk_size,initial_head,direction,spread,density,clustering,direction_bias,fcfs_dist,sstf_dist,scan_dist,cscan_dist,best_algorithm
41,random,46,500,353,UP,0.7943,0.1913,0.3731,0.2046,7133,826,638,979,SCAN
42,random,31,300,191,DOWN,0.7847,0.2214,0.2968,0.2406,2872,470,484,597,SSTF
43,random,40,150,63,UP,0.815,0.5333,0.2723,0.2163,1879,235,235,294,SSTF
44,random,33,150,141,UP,0.8334,0.4521,0.3706,0.2225,1710,152,154,293,SSTF
45,random,26,150,18,UP,0.8169,0.3636,0.3039,0.241,1651,160,280,296,SSTF
46,random,16,150,84,UP,0.8286,0.2148,0.4976,0.244,888,217,213,296,SCAN
47,random,27,250,171,DOWN,0.8401,0.2259,0.2821,0.2663,2768,320,418,483,SSTF
48,random,46,200,185,DOWN,0.7963,0.4742,0.5,0.2166,2657,375,381,392,SSTF
49,random,42,300,97,UP,0.7799,0.3,0.4153,0.2086,3793,467,495,584,SSTF
50,random,54,300,181,DOWN,0.8294,0.3649,0.3591,0.2175,5428,415,478,597,SSTF
51,random,41,500,27,UP,0.8028,0.1723,0.4,0.2363,6416,492,961,981,SSTF
52,random,37,500,173,UP,0.8191,0.1523,0.4567,0.2022,7344,809,813,946,SSTF
53,random,24,200,137,DOWN,0.7556,0.2581,0.3057,0.233,1532,238,327,397,SSTF
54,random,39,200,71,DOWN,0.774,0.4194,0.2565,0.2062,2349,301,258,398,SCAN
55,random,16,300,281,UP,0.7111,0.1255,0.2868,0.2643,1592,260,296,592,SSTF
56,random,53,400,7,UP,0.826,0.2782,0.4033,0.235,7596,392,392,392,SSTF
57,random,27,200,104,DOWN,0.8127,0.2812,0.4977,0.2629,1775,329,300,387,SCAN
58,random,25,300,30,UP,0.8066,0.1754,0.2907,0.2193,2395,542,564,589,SSTF
59,random,12,300,135,DOWN,0.8609,0.0825,0.3652,0.2906,1717,448,428,571,SCAN
60,random,39,500,490,DOWN,0.8287,0.1595,0.3568,0.2344,7343,489,489,489,SSTF
61,random,24,250,55,UP,0.7551,0.2115,0.4644,0.2425,1867,269,431,483,SSTF
62,random,46,150,80,UP,0.7591,0.6715,0.3675,0.2331,2105,204,206,296,SSTF
63,random,49,300,257,UP,0.8034,0.3322,0.4248,0.2332,4355,546,336,589,SCAN
64,random,44,150,47,UP,0.8382,0.5946,0.4063,0.2068,2200,255,249,297,SCAN
65,random,16,500,441,UP,0.842,0.0648,0.3661,0.2476,2990,549,553,968,SSTF
66,random,19,400,126,UP,0.859,0.0964,0.3229,0.2799,3092,662,670,759,SSTF
67,random,17,300,298,DOWN,0.7617,0.1318,0.5022,0.2051,1745,273,273,273,SSTF
68,random,25,500,366,DOWN,0.7965,0.1018,0.3084,0.2823,3057,620,862,984,SSTF
69,random,28,300,67,DOWN,0.7289,0.2231,0.3345,0.2174,3016,287,347,591,SSTF
70,random,32,150,2,DOWN,0.7848,0.4706,0.4356,0.2078,1815,137,137,295,SSTF
71,random,48,150,18,UP,0.7914,0.6486,0.4292,0.2118,1998,163,278,297,SSTF
72,random,28,200,89,UP,0.8087,0.2979,0.3669,0.2373,2109,270,303,392,SSTF
73,random,35,250,40,DOWN,0.7987,0.2929,0.3932,0.2102,2526,454,282,497,SCAN
74,random,31,400,334,UP,0.8164,0.1574,0.5189,0.2499,4848,457,459,769,SSTF
75,random,47,250,238,UP,0.804,0.3821,0.3903,0.2087,3927,252,260,490,SSTF
76,random,28,150,27,UP,0.7589,0.4179,0.3402,0.231,1644,254,256,286,SSTF
77,random,30,400,107,DOWN,0.8184,0.1622,0.4278,0.2123,4806,646,491,785,SCAN
78,random,55,500,436,DOWN,0.8206,0.2268,0.357,0.2083,8867,939,927,997,SCAN
79,random,43,250,231,UP,0.8021,0.3644,0.4195,0.2716,3661,240,266,494,SSTF
80,random,52,300,141,UP,0.8015,0.3586,0.309,0.2262,4897,438,456,581,SSTF
81,random,33,200,163,DOWN,0.7551,0.3667,0.3584,0.2393,2363,212,343,392,SSTF
82,random,40,400,361,DOWN,0.8275,0.2036,0.3469,0.2128,5896,424,754,796,SSTF
83,random,12,150,19,UP,0.7062,0.2017,0.3534,0.4001,629,160,268,292,SSTF
84,random,14,250,149,UP,0.7857,0.1197,0.226,0.273,1174,328,338,481,SSTF
85,random,20,150,78,DOWN,0.8348,0.2778,0.435,0.2247,1231,213,226,287,SSTF
86,random,34,200,174,UP,0.8124,0.3579,0.3982,0.2426,2868,206,222,392,SSTF
87,random,18,250,199,DOWN,0.6565,0.1827,0.4,0.2515,1262,359,439,497,SSTF
88,random,21,200,41,UP,0.7677,0.2283,0.3204,0.2417,1049,331,351,375,SSTF
89,random,13,200,188,DOWN,0.7206,0.1486,0.4277,0.248,947,194,386,388,SSTF
90,random,54,500,415,UP,0.6992,0.2559,0.2669,0.2193,8335,478,532,984,SSTF
91,random,22,500,55,DOWN,0.7191,0.1035,0.4157,0.2731,3554,468,494,996,SSTF
92,random,42,200,51,DOWN,0.7034,0.4941,0.4217,0.2198,2491,217,223,388,SSTF
93,random,31,200,57,UP,0.7665,0.3543,0.5028,0.241,1963,209,319,394,SSTF
94,random,24,300,168,DOWN,0.7849,0.1708,0.2769,0.226,2233,429,467,580,SSTF
95,random,29,250,164,DOWN,0.8059,0.2387,0.3894,0.2207,2585,324,410,498,SSTF
96,random,46,250,240,UP,0.8018,0.3882,0.3052,0.2137,3615,238,252,495,SSTF
97,random,28,200,148,DOWN,0.7873,0.3011,0.2751,0.2411,2114,333,333,390,SSTF
98,random,18,400,222,DOWN,0.7421,0.1032,0.2898,0.2571,2431,496,584,786,SSTF
99,random,32,300,261,UP,0.8089,0.2254,0.341,0.2584,3351,319,331,597,SSTF
100,random,48,200,65,UP,0.8237,0.4824,0.4479,0.22,3538,275,333,391,SSTF
101,random,39,150,133,UP,0.7922,0.5417,0.3702,0.2399,1990,158,160,293,SSTF
102,random,39,150,84,DOWN,0.8187,0.5306,0.4647,0.2312,2087,230,230,295,SSTF
103,random,19,500,460,DOWN,0.6857,0.0927,0.374,0.2725,2458,795,957,991,SSTF
104,random,31,500,209,DOWN,0.8058,0.1292,0.439,0.2285,5203,767,700,995,SCAN
105,random,30,400,65,UP,0.8091,0.1587,0.341,0.2414,4299,702,720,779,SSTF
106,random,54,300,89,DOWN,0.8297,0.3636,0.3627,0.2183,5517,383,387,589,SSTF
107,random,47,150,77,DOWN,0.8302,0.6309,0.3948,0.2471,2177,225,225,293,SSTF
108,random,39,400,310,DOWN,0.7996,0.2026,0.3898,0.2067,4983,467,703,793,SSTF
109,random,40,300,109,DOWN,0.8067,0.2703,0.3353,0.2433,3683,481,404,596,SCAN
110,random,22,500,43,DOWN,0.8579,0.0894,0.3066,0.2841,4330,534,534,973,SSTF
111,random,54,500,317,DOWN,0.7972,0.2231,0.3925,0.2197,8109,658,809,993,SSTF
112,random,27,500,158,UP,0.7584,0.1205,0.3866,0.2687,4840,739,837,974,SSTF
113,random,21,150,11,UP,0.715,0.3333,0.3218,0.2832,998,127,127,127,SSTF
114,random,51,150,116,DOWN,0.8138,0.6939,0.4869,0.2115,2514,278,264,296,SCAN
115,random,48,200,183,DOWN,0.8395,0.4824,0.3937,0.2243,2780,241,381,398,SSTF
116,random,37,200,37,UP,0.8594,0.37,0.4176,0.2,3002,361,361,388,SSTF
117,random,18,300,112,UP,0.8236,0.1263,0.3355,0.2505,2183,470,472,567,SSTF
118,random,45,300,25,UP,0.8244,0.3082,0.4335,0.2471,4880,308,565,596,SSTF
119,random,41,200,118,DOWN,0.7791,0.4385,0.4451,0.2099,2368,301,307,395,SSTF
120,random,40,400,368,DOWN,0.7684,0.2133,0.3437,0.2312,5388,381,743,796,SSTF
121,random,40,200,190,DOWN,0.8381,0.402,0.3359,0.2284,2893,392,388,397,SCAN
122,random,28,200,163,DOWN,0.7848,0.2995,0.2651,0.2106,2143,212,352,395,SSTF
123,random,43,500,122,DOWN,0.8321,0.1773,0.3907,0.2016,7363,848,608,998,SCAN
124,random,16,500,146,UP,0.7284,0.0732,0.439,0.2258,1896,786,792,934,SSTF
125,random,33,250,228,UP,0.7418,0.3041,0.3531,0.2507,2243,243,245,496,SSTF
126,random,21,200,98,UP,0.7813,0.227,0.3403,0.2051,1676,308,298,387,SCAN
127,random,25,150,106,DOWN,0.7805,0.3401,0.3862,0.2317,1083,249,255,290,SSTF
128,random,46,300,212,UP,0.7736,0.3274,0.3542,0.2285,4888,474,368,595,SCAN
129,random,38,300,299,UP,0.7952,0.2676,0.3983,0.2308,3198,298,298,583,SSTF
130,random,36,300,3,DOWN,0.7844,0.2483,0.3764,0.2496,3574,295,301,592,SSTF
131,random,36,300,275,UP,0.7772,0.2483,0.4039,0.2234,3102,315,313,597,SCAN
132,random,26,250,111,DOWN,0.8204,0.2167,0.436,0.242,2156,362,354,495,SCAN
133,random,36,250,171,DOWN,0.8461,0.2927,0.3538,0.2481,3577,413,419,485,SSTF
134,random,22,300,65,UP,0.7331,0.163,0.4174,0.2492,2173,309,508,574,SSTF
135,random,49,400,339,UP,0.8108,0.2579,0.274,0.2112,5979,704,445,794,SCAN
136,random,53,300,69,DOWN,0.7214,0.3941,0.4037,0.2173,4273,470,340,592,SCAN
137,random,15,250,97,DOWN,0.7984,0.1277,0.3266,0.2113,1648,326,336,459,SSTF
138,random,41,250,86,DOWN,0.8387,0.3388,0.4721,0.2147,3595,419,330,486,SCAN
139,random,38,250,213,UP,0.8314,0.3052,0.4626,0.2059,3693,284,284,494,SSTF
140,random,13,500,276,UP,0.7679,0.0568,0.3364,0.2827,2144,694,683,958,SCAN
141,random,26,500,35,UP,0.7147,0.1187,0.3889,0.2432,3493,459,459,459,SSTF
142,random,13,200,51,UP,0.7685,0.1376,0.291,0.2696,954,335,337,357,SSTF
143,random,21,200,32,DOWN,0.8253,0.2132,0.3691,0.2298,1180,371,229,397,SCAN
144,random,19,400,111,DOWN,0.7887,0.103,0.3267,0.2167,2377,630,484,784,SCAN
145,random,28,250,42,UP,0.8215,0.2267,0.4089,0.2251,1990,299,453,490,SSTF
146,random,31,150,148,UP,0.7711,0.446,0.4045,0.2473,1333,143,145,293,SSTF
147,random,48,500,464,DOWN,0.8462,0.1951,0.3169,0.2287,8671,521,958,995,SSTF
148,random,24,150,62,UP,0.8038,0.3221,0.409,0.218,1104,235,235,294,SSTF
149,random,31,500,307,UP,0.7252,0.1501,0.4794,0.2772,4440,589,669,980,SSTF
150,random,14,250,136,DOWN,0.7592,0.1186,0.4067,0.297,844,344,381,490,SSTF
151,random,35,150,129,DOWN,0.7754,0.5036,0.2946,0.224,1693,154,274,294,SSTF
152,random,38,300,54,DOWN,0.8198,0.2612,0.3285,0.2076,3942,340,348,583,SSTF
153,random,52,300,78,DOWN,0.8208,0.3467,0.3628,0.2141,5167,524,377,591,SCAN
154,random,45,500,138,DOWN,0.7712,0.1935,0.2935,0.2401,5722,589,617,997,SSTF
155,random,39,500,303,DOWN,0.8228,0.1608,0.3448,0.2121,6516,780,794,975,SSTF
156,random,27,150,71,DOWN,0.7055,0.4286,0.3206,0.2687,1087,187,205,293,SSTF
157,random,41,400,312,DOWN,0.8453,0.2081,0.385,0.2262,6194,478,709,787,SSTF
158,random,13,300,166,UP,0.7211,0.1024,0.3055,0.2729,1052,414,413,587,SCAN
159,random,25,250,204,DOWN,0.7522,0.237,0.3241,0.2251,2360,241,439,494,SSTF
160,random,29,400,359,DOWN,0.8288,0.1487,0.4041,0.2149,4853,445,758,779,SSTF
161,sequential,12,400,97,UP,0.0234,1.0,0.0,1.0,96,96,96,96,FCFS
162,sequential,38,300,284,UP,0.1035,1.0,0.0,1.0,68,43,61,597,SSTF
163,sequential,42,500,364,DOWN,0.0687,1.0,0.153,0.9707,80,80,730,998,FCFS
164,sequential,13,150,75,UP,0.0682,1.0,0.1633,0.9667,76,64,64,64,SSTF
165,sequential,27,250,169,DOWN,0.0876,1.0,0.0,1.0,63,63,63,63,FCFS
166,sequential,47,400,176,DOWN,0.0964,1.0,0.118,0.9826,102,102,454,742,FCFS
167,sequential,47,250,90,DOWN,0.1542,1.0,0.118,0.9826,174,128,308,416,SSTF
168,sequential,31,250,59,UP,0.1011,1.0,0.1789,0.96,56,34,406,497,SSTF
169,sequential,24,250,30,UP,0.0777,1.0,0.118,0.9826,217,194,194,194,SSTF
170,sequential,25,500,247,DOWN,0.0403,1.0,0.1633,0.9667,136,136,136,136,FCFS
171,sequential,49,400,305,DOWN,0.1005,1.0,0.0816,0.9917,193,193,193,193,FCFS
172,sequential,24,250,58,DOWN,0.0776,1.0,0.0,1.0,39,39,123,498,FCFS
173,sequential,31,150,136,UP,0.1687,1.0,0.1789,0.96,93,63,89,265,SSTF
174,sequential,14,150,141,DOWN,0.0736,1.0,0.1569,0.9692,119,106,106,106,SSTF
175,sequential,20,500,444,DOWN,0.0322,1.0,0.1298,0.9789,328,309,309,309,SSTF
176,sequential,12,400,145,DOWN,0.0236,1.0,0.1706,0.9636,130,130,420,679,FCFS
177,sequential,40,250,47,UP,0.131,1.0,0.1281,0.9795,179,179,179,179,FCFS
178,sequential,42,150,16,DOWN,0.2297,1.0,0.0,1.0,81,42,72,298,SSTF
179,sequential,16,400,322,UP,0.0317,1.0,0.1461,0.9733,300,285,439,528,SSTF
180,sequential,21,400,155,UP,0.0422,1.0,0.0,1.0,181,181,181,181,FCFS
181,sequential,19,400,391,DOWN,0.0381,1.0,0.1333,0.9778,226,208,208,208,SSTF
182,sequential,50,400,115,DOWN,0.1026,1.0,0.14,0.9755,211,211,441,636,FCFS
183,sequential,40,250,220,DOWN,0.1309,1.0,0.0906,0.9897,145,106,106,106,SSTF
184,sequential,48,400,30,UP,0.0984,1.0,0.1167,0.983,353,353,353,353,FCFS
185,sequential,25,500,108,DOWN,0.0402,1.0,0.1633,0.9667,215,215,431,807,FCFS
186,sequential,17,200,61,UP,0.0678,1.0,0.0,1.0,113,113,113,113,FCFS
187,sequential,16,200,0,DOWN,0.0634,1.0,0.1461,0.9733,136,136,136,277,FCFS
188,sequential,50,300,149,UP,0.1366,1.0,0.1616,0.9673,68,68,368,579,FCFS
189,sequential,30,500,144,DOWN,0.0488,1.0,0.1486,0.9724,229,200,488,827,SSTF
190,sequential,55,200,67,UP,0.2264,1.0,0.077,0.9926,111,111,111,111,FCFS
191,sequential,19,400,115,UP,0.0397,1.0,0.1533,0.9778,64,64,632,753,FCFS
192,sequential,21,150,15,UP,0.1129,1.0,0.1789,0.96,67,47,47,47,SSTF
193,sequential,50,500,422,DOWN,0.0819,1.0,0.1143,0.9837,111,62,62,62,SSTF
194,sequential,19,300,155,DOWN,0.0507,1.0,0.2309,0.9333,145,127,437,489,SSTF
195,sequential,44,400,252,DOWN,0.0902,1.0,0.1494,0.9721,249,206,206,206,SSTF
196,sequential,50,150,110,DOWN,0.2747,1.0,0.1616,0.9673,150,101,101,101,SSTF
197,sequential,28,150,23,UP,0.1519,1.0,0.1089,0.9852,87,87,87,87,FCFS
198,sequential,48,400,10,DOWN,0.0984,1.0,0.1167,0.983,366,366,386,479,FCFS
199,sequential,14,200,120,DOWN,0.0552,1.0,0.2219,0.9385,117,104,104,104,SSTF
200,sequential,23,400,223,DOWN,0.0465,1.0,0.1706,0.9636,27,27,473,793,FCFS
201,sequential,42,250,104,DOWN,0.14,1.0,0.1611,0.9707,73,73,219,498,FCFS
202,sequential,54,150,41,DOWN,0.2966,1.0,0.1099,0.9849,65,65,147,286,FCFS
203,sequential,43,250,169,DOWN,0.1409,1.0,0.0,1.0,74,74,348,498,FCFS
204,sequential,47,150,116,UP,0.2532,1.0,0.1345,0.9739,145,100,166,243,SSTF
205,sequential,28,250,29,DOWN,0.0908,1.0,0.1089,0.9852,165,165,223,360,FCFS
206,sequential,12,500,445,DOWN,0.0202,1.0,0.1054,1.0,155,155,155,155,FCFS
207,sequential,15,200,132,DOWN,0.0595,1.0,0.0,1.0,80,66,66,66,SSTF
208,sequential,43,500,226,UP,0.0703,1.0,0.1234,0.981,257,257,257,257,FCFS
209,sequential,29,400,67,DOWN,0.0588,1.0,0.1512,0.9714,171,171,305,655,FCFS
210,sequential,43,150,7,UP,0.2352,1.0,0.0873,0.9905,85,43,43,43,SSTF
211,sequential,22,250,141,UP,0.0736,1.0,0.0813,1.0,69,69,69,69,FCFS
212,sequential,38,150,57,UP,0.2076,1.0,0.093,0.9892,61,61,197,297,FCFS
213,sequential,19,500,426,UP,0.0303,1.0,0.1333,0.9778,140,140,286,876,FCFS
214,sequential,30,400,361,DOWN,0.0609,1.0,0.1486,0.9724,46,46,46,46,FCFS
215,sequential,42,300,124,DOWN,0.1146,1.0,0.0,1.0,117,76,76,76,SSTF
216,sequential,21,300,97,UP,0.0562,1.0,0.2191,0.94,65,45,45,45,SSTF
217,sequential,29,300,174,DOWN,0.0765,1.0,0.135,0.9714,71,44,392,581,SSTF
218,sequential,30,500,152,DOWN,0.0487,1.0,0.1486,0.9724,170,170,474,857,FCFS
219,sequential,40,400,247,DOWN,0.0818,1.0,0.1281,0.9795,162,123,123,123,SSTF
220,sequential,47,400,193,DOWN,0.0963,1.0,0.0834,0.9913,200,154,540,690,SSTF
221,sequential,24,500,122,DOWN,0.0387,1.0,0.118,0.9826,127,104,104,104,SSTF
222,sequential,38,150,81,DOWN,0.2076,1.0,0.1315,0.9784,76,39,201,296,SSTF
223,sequential,36,300,77,DOWN,0.0979,1.0,0.0,1.0,47,58,166,598,FCFS
224,sequential,20,400,302,DOWN,0.0401,1.0,0.0,1.0,226,207,207,207,SSTF
225,sequential,40,150,134,DOWN,0.2184,1.0,0.1281,0.9795,82,82,82,82,FCFS
226,sequential,21,300,79,UP,0.0566,1.0,0.1265,0.98,43,23,23,23,SSTF
227,sequential,28,250,159,DOWN,0.0883,1.0,0.1376,0.9704,79,53,53,53,SSTF
228,sequential,17,250,218,DOWN,0.0542,1.0,0.0,1.0,99,99,99,99,FCFS
229,sequential,52,500,454,DOWN,0.0853,1.0,0.0,1.0,212,161,161,161,SSTF
230,sequential,14,400,35,UP,0.0257,1.0,0.2055,0.9385,121,121,121,121,FCFS
231,sequential,55,250,58,UP,0.1811,1.0,0.1089,0.9852,155,101,101,101,SSTF
232,sequential,18,500,360,UP,0.0287,1.0,0.0,1.0,122,105,105,105,SSTF
233,sequential,22,500,153,UP,0.0354,1.0,0.1746,0.9619,133,112,804,907,SSTF
234,sequential,32,150,75,DOWN,0.1741,1.0,0.0,1.0,65,34,34,34,SSTF
235,sequential,39,200,62,DOWN,0.1596,1.0,0.0918,0.9895,164,126,250,310,SSTF
236,sequential,55,200,43,UP,0.2264,1.0,0.154,0.9704,108,108,108,108,FCFS
237,sequential,51,300,123,DOWN,0.1396,1.0,0.196,0.952,156,106,106,106,SSTF
238,sequential,21,200,118,DOWN,0.0843,1.0,0.1265,0.98,124,104,104,104,SSTF
239,sequential,28,500,4,DOWN,0.0453,1.0,0.1089,0.9852,390,390,398,635,FCFS
240,sequential,55,400,80,UP,0.113,1.0,0.0,1.0,237,237,237,237,FCFS
241,sequential,34,400,153,DOWN,0.0692,1.0,0.0,1.0,45,54,318,798,FCFS
242,sequential,28,300,154,UP,0.0757,1.0,0.154,0.9704,85,58,58,58,SSTF
243,sequential,42,150,60,DOWN,0.2299,1.0,0.0883,0.9902,53,53,53,53,FCFS
244,sequential,34,400,151,DOWN,0.0692,1.0,0.0985,0.9879,243,243,545,588,FCFS
245,sequential,54,300,140,UP,0.1479,1.0,0.1099,0.9849,116,63,63,63,SSTF
246,sequential,55,500,498,UP,0.0904,1.0,0.1333,0.9778,251,251,253,801,FCFS
247,sequential,43,250,198,UP,0.1384,1.0,0.1091,0.981,41,41,143,497,FCFS
248,sequential,34,200,162,UP,0.1387,1.0,0.1393,0.9758,52,47,93,396,SSTF
249,sequential,28,500,386,UP,0.0453,1.0,0.1089,0.9852,210,210,436,815,FCFS
250,sequential,18,500,330,UP,0.0287,1.0,0.194,0.9529,332,315,653,700,SSTF
251,sequential,40,150,148,DOWN,0.2187,1.0,0.1812,0.959,149,110,110,110,SSTF
252,sequential,20,150,75,DOWN,0.1073,1.0,0.0,1.0,63,63,63,63,FCFS
253,sequential,38,200,51,UP,0.1557,1.0,0.1611,0.9676,39,72,298,397,FCFS
254,sequential,35,400,256,DOWN,0.0729,1.0,0.1486,0.9765,244,209,209,209,SSTF
255,sequential,28,300,151,DOWN,0.0757,1.0,0.154,0.9704,113,86,86,86,SSTF
256,sequential,41,150,36,UP,0.2245,1.0,0.1265,0.98,64,64,64,64,FCFS
257,sequential,55,300,285,DOWN,0.1507,1.0,0.154,0.9704,273,219,219,219,SSTF
258,sequential,37,150,67,UP,0.2022,1.0,0.1333,0.9778,67,67,195,297,FCFS
259,sequential,35,500,383,DOWN,0.0583,1.0,0.1149,0.9882,120,85,85,85,SSTF
260,sequential,36,500,481,DOWN,0.0587,1.0,0.1912,0.9543,475,440,440,440,SSTF
261,sequential,55,200,120,UP,0.2296,1.0,0.1602,0.9704,79,79,237,374,FCFS
262,sequential,47,250,234,UP,0.1542,1.0,0.1668,0.9652,237,191,221,353,SSTF
263,sequential,16,500,421,DOWN,0.0254,1.0,0.0,1.0,33,18,18,18,SSTF
264,sequential,31,500,209,UP,0.0504,1.0,0.1033,0.9867,148,118,118,118,SSTF
265,sequential,14,150,77,DOWN,0.0738,1.0,0.0,1.0,60,47,201,264,SSTF
266,sequential,18,200,137,UP,0.072,1.0,0.0,1.0,51,34,34,34,SSTF
267,sequential,41,250,171,DOWN,0.1316,1.0,0.1119,0.98,115,76,76,76,SSTF
268,sequential,21,300,50,DOWN,0.0563,1.0,0.0,1.0,107,107,207,511,FCFS
269,sequential,38,250,8,DOWN,0.1244,1.0,0.093,0.9892,63,63,79,472,FCFS
270,sequential,40,300,120,DOWN,0.1112,1.0,0.2069,0.9487,62,62,62,62,FCFS
271,sequential,55,250,139,DOWN,0.181,1.0,0.1886,0.9556,58,58,336,494,FCFS
272,sequential,37,250,48,UP,0.1207,1.0,0.1633,0.9667,190,190,190,190,FCFS
273,sequential,17,500,108,UP,0.0271,1.0,0.0,1.0,271,271,271,271,FCFS
274,sequential,33,200,32,UP,0.1313,1.0,0.1627,0.9625,66,66,66,66,FCFS
275,sequential,47,200,150,UP,0.193,1.0,0.0834,0.9913,123,77,175,367,SSTF
276,sequential,33,200,152,UP,0.1345,1.0,0.1,0.9875,143,143,237,287,FCFS
277,sequential,21,200,138,DOWN,0.0846,1.0,0.1265,0.98,26,26,290,398,FCFS
278,sequential,19,500,443,UP,0.0304,1.0,0.0,1.0,337,319,431,697,SSTF
279,sequential,12,250,202,UP,0.0376,1.0,0.0,1.0,16,17,99,497,FCFS
280,sequential,32,150,44,DOWN,0.1747,1.0,0.176,0.9613,110,79,167,250,SSTF
281,sequential,20,500,215,UP,0.0321,1.0,0.0,1.0,276,257,257,257,SSTF
282,sequential,16,300,229,DOWN,0.0425,1.0,0.1461,0.9733,93,93,93,93,FCFS
283,sequential,49,150,115,UP,0.2689,1.0,0.1414,0.975,132,84,152,262,SSTF
284,sequential,14,500,401,DOWN,0.0222,1.0,0.1569,0.9692,109,96,96,96,SSTF
285,sequential,53,150,15,DOWN,0.2912,1.0,0.1109,0.9846,56,56,78,298,FCFS
286,sequential,39,500,55,DOWN,0.0637,1.0,0.0918,0.9895,311,311,421,725,FCFS
287,sequential,40,150,20,DOWN,0.2229,1.0,0.1077,0.9897,71,71,111,267,FCFS
288,sequential,21,150,32,DOWN,0.1087,1.0,0.1617,0.96,26,26,90,291,FCFS
289,sequential,52,400,280,DOWN,0.1068,1.0,0.1372,0.9765,115,115,115,115,FCFS
290,sequential,50,400,150,DOWN,0.1041,1.0,0.125,0.9837,55,55,355,793,FCFS
291,sequential,50,300,50,UP,0.1369,1.0,0.1143,0.9837,82,82,82,82,FCFS
